driveName,type,diskCapacity,diskMark,rank,price,driveValue,priceperGB,testDate,id
Crucial CT2050MX300SSD1,SSD,1900.0,3735,2884,39200.0,7.62,0.26,2016,577
Mushkin ECO3 480GB MKNSSDE3480GB,SSD,447.1,3735,2885,3120.0,95.76,0.09,2016,578
PNY CS900 500GB SSD,SSD,465.8,3730,2890,5519.2,54.07,0.15,2020,579
SanDisk X600 M.2 2280 128GB,SSD,119.2,3730,2895,3080.0,96.88,0.32,2018,580
TOSHIBA KSG60ZMV256G,SSD,238.5,3726,2903,3239.2,92.02,0.17,2018,581
GIGABYTE GP-GSTFS31256GTND,SSD,238.5,3723,2905,4952.0,60.14,0.26,2018,582
Transcend SSD720 256GB TS256GSSD720,SSD,238.5,3705,2935,19999.2,14.82,1.05,2012,583
Crucial CT250MX200SSD1,SSD,232.9,3703,2938,7999.2,37.03,0.43,2015,584
PLEXTOR PX-512M5Pro,SSD,476.9,3701,2942,21999.2,13.46,0.58,2013,585
Crucial CT128M550SSD3,SSD,119.2,3698,2947,15520.0,19.06,1.63,2014,586
PLEXTOR PX-128M6S,SSD,119.2,3693,2951,16400.0,18.02,1.72,2014,587
SanDisk SDSSDXPS,SSD,447.1,3693,2952,11999.2,24.62,0.34,2014,588
SAMSUNG MZ7LN256HCHP-00000,SSD,238.5,3689,2958,4800.0,61.48,0.25,2015,589
SAMSUNG MZNLN256HCHP-000L2,SSD,238.5,3689,2960,5999.2,49.19,0.31,2015,590
Patriot Blast 480GB,SSD,447.1,3688,2961,5359.2,55.06,0.15,2015,591
Crucial CT512M550SSD4,SSD,476.9,3687,2962,22221.6,13.27,0.58,2014,592
PNY CS900 250GB SSD,SSD,232.9,3686,2963,3079.2,95.77,0.17,2020,593
Seagate BarraCuda 120 SSD ZA250CM10003,SSD,232.9,3684,2965,4239.2,69.53,0.23,2020,594
CT480BX200SSD1,SSD,447.1,3682,2971,35039.2,8.41,0.98,2015,595
OCZ Vertex 3 240GB,SSD,223.6,3680,2975,5540.8,53.13,0.31,2012,596
SanDisk SD7SB2Q-512G,SSD,476.9,3679,2977,15999.2,18.4,0.42,2015,597
Seagate ST240HM000,SSD,223.6,3677,2983,15199.2,19.36,0.85,2013,598
Kingston HyperX 480GB SH100S3480G,SSD,447.1,3676,2986,39999.2,7.35,1.12,2013,599
Crucial CT275MX300SSD1,SSD,256.2,3676,2987,14396.0,20.43,0.7,2016,600
SAMSUNG SSD SM841 mSATA 128GB,SSD,119.2,3676,2988,4696.0,62.62,0.49,2013,601
GIGABYTE GP-GSTFS31480GNTD,SSD,447.1,3675,2989,4159.2,70.69,0.12,2019,602
SAMSUNG MZNLN256HCHP-00000,SSD,238.5,3675,2990,4480.0,65.62,0.23,2015,603
SEAGATE ST480FP0021,SSD,447.1,3670,2995,10400.0,28.23,0.29,2015,604
Corsair Force GT,SSD,223.6,3669,2996,39887.2,7.36,2.23,2012,605
Intel SSD 520 180GB 9.5mm,SSD,167.7,3666,3001,14783.2,19.84,1.1,2012,606
Fujitsu SSD256GB,SSD,238.5,3664,3003,12799.2,22.9,0.67,2013,607
SAMSUNG SSD PM871 mSATA 256GB,SSD,238.5,3650,3023,11999.2,24.34,0.63,2015,608
Crucial CT512M550SSD1,SSD,476.9,3650,3024,18400.0,15.87,0.48,2014,609
Transcend TS256GSSD370S,SSD,238.5,3649,3027,14320.0,20.38,0.75,2015,610
Intel SSD DC S3500 300GB,SSD,279.5,3635,3045,28000.0,10.39,1.25,2013,611
TOSHIBA THNSNH512GBST,SSD,476.9,3632,3049,5679.2,51.17,0.15,2013,612
Seagate BarraCuda Q1 SSD ZA240CV10001,SSD,223.6,3629,3051,4399.2,66.0,0.25,2020,613
SAMSUNG MZ7LN512HCHP-00000,SSD,476.9,3624,3059,16799.2,17.26,0.44,2016,614
Seagate ST480HM000,SSD,447.1,3623,3061,20327.2,14.26,0.57,2013,615
SanDisk SD9SN8W-128G-1006,SSD,119.2,3621,3064,2799.2,103.48,0.29,2018,616
MTFDDAK512MBF,SSD,476.9,3619,3066,7200.0,40.21,0.19,2016,617
HP SSD S700 Pro 256GB,SSD,238.5,3612,3079,7911.2,36.52,0.41,2017,618
OCZ RevoDrive 3,SSD,111.8,3601,3093,7991.2,36.04,0.89,2012,619
OCZ Vertex 3 Max IOPS 120GB,SSD,111.8,3590,3113,9596.0,29.93,1.07,2011,620
HP SSD S700 1TB,SSD,931.5,3583,3123,8399.2,34.12,0.11,2019,621
Transcend TS256GSSD370,SSD,238.5,3576,3133,9776.0,29.26,0.51,2014,622
Transcend TS256GMTS600,SSD,238.5,3568,3141,8799.2,32.44,0.46,2015,623
SanDisk SD7SB3Q-256G,SSD,238.5,3566,3146,5599.2,50.95,0.29,2015,624
PLEXTOR PX-128M5M,SSD,119.2,3556,3170,14396.0,19.76,1.51,2013,625
CT240BX200SSD1,SSD,223.6,3548,3186,11821.6,24.01,0.66,2015,626
Intel SSD Pro 1500 180GB,SSD,167.7,3546,3188,1999.2,141.88,0.15,2013,627
Plextor M5 Pro 256GB PX-256M5P,SSD,238.5,3542,3191,16799.2,16.87,0.88,2012,628
PLEXTOR PX-128S2G,SSD,119.2,3536,3197,13998.4,20.21,1.47,2016,629
ADATA SU800 M.2 SSD 128GB,SSD,119.2,3530,3206,7362.4,38.36,0.77,2017,630
Transcend TS512GSSD720,SSD,476.9,3528,3209,28929.6,9.76,0.76,2013,631
KingDian S280 480GB,SSD,447.1,3524,3219,4559.2,61.84,0.13,2016,632
PLEXTOR PX-256M8VC,SSD,238.5,3522,3223,6380.0,44.16,0.33,2019,633
Crucial CT256M550SSD3,SSD,238.5,3518,3228,28621.6,9.83,1.5,2014,634
HFS256G32TND-N210A,SSD,238.5,3518,3229,6399.2,43.97,0.34,2016,635
KINGSTON SH103S3,SSD,111.8,3517,3233,10229.6,27.5,1.14,2014,636
HP SSD S700 Pro,SSD,238.5,3514,3243,3679.2,76.4,0.19,2017,637
INTEL 730 240GB SSDSC2BP240G4,SSD,223.6,3512,3247,13884.0,20.24,0.78,2014,638
SanDisk SD7TB3Q-256G-1006,SSD,238.5,3510,3255,5999.2,46.8,0.31,2015,639
Intel SSD 520 120GB SSDSC2CW120A3,SSD,111.8,3492,3286,6026.4,46.36,0.67,2013,640
SanDisk SDSSDH3 250G,SSD,232.9,3488,3293,3558.4,78.42,0.19,2018,641
Intel SSD 520 120GB SSDSC2CW120,SSD,111.8,3481,3305,10399.2,26.78,1.16,2012,642
Netac N5M-120GB,SSD,118.0,3476,3318,5279.2,52.67,0.56,2015,643
Kingston HyperX 3K 120GB SH103S3120G,SSD,111.8,3469,3328,9598.4,28.92,1.07,2012,644
KingDian S280-120GB,SSD,111.8,3468,3332,13238.4,20.95,1.48,2016,645
ZOTAC ZTSSD-A5P-240G-PE,SSD,223.6,3467,3333,5999.2,46.23,0.34,2015,646
D2RSTK251E19-0400,SSD,372.6,3465,3337,11741.6,23.61,0.39,2014,647
NGFF 2280 256GB SSD,SSD,238.5,3449,3364,2960.8,93.18,0.16,2020,648
PNY CS900 480GB SSD,SSD,447.1,3443,3370,18494.4,14.89,0.52,2017,649
KINGSTON SH103S3240G-NV,SSD,223.6,3439,3375,14399.2,19.11,0.8,2013,650
SanDisk SD6SN1M-256G,SSD,238.5,3438,3378,10399.2,26.45,0.55,2014,651
NGFF 2280 512GB SSD,SSD,476.9,3438,3379,11400.0,24.12,0.3,2021,652
SanDisk SD5SB2-128G-1006E,SSD,119.2,3436,3382,8524.0,32.25,0.89,2013,653
Micron M600 MTFDDAV128MBF,SSD,119.2,3436,3384,15821.6,17.37,1.66,2015,654
Corsair Performance Pro,SSD,119.1,3434,3389,14399.2,19.08,1.51,2011,655
GIGABYTE GP-GSTFS31240GNTD,SSD,223.6,3433,3391,2753.6,99.74,0.15,2018,656
Lexar 128GB SSD,SSD,119.2,3431,3392,4213.6,65.14,0.44,2019,657
ADATA Premier Pro SP900 256GB,SSD,238.5,3430,3393,6971.2,39.37,0.37,2013,658
KINGSTON SMS200S3240G,SSD,223.6,3424,3406,9559.2,28.66,0.53,2014,659
Transcend TS256GSSD320,SSD,238.5,3423,3408,20471.2,13.38,1.07,2013,660
Intel 335 180GB SSDSC2CT180A4,SSD,167.7,3423,3410,15120.0,18.11,1.13,2013,661
SAMSUNG MZNTY256HDHP-000H1,SSD,238.5,3417,3414,6399.2,42.72,0.34,2016,662
FCCT960M500SSD1,SSD,894.3,3407,3431,17599.2,15.49,0.25,2015,663
PNY CS900 240GB SSD,SSD,223.6,3402,3441,5872.0,46.35,0.33,2016,664
TEAM L5 LITE SSD 240GB,SSD,223.6,3400,3443,2799.2,97.18,0.16,2017,665
Corsair Force GT,SSD,111.8,3398,3447,7109.6,38.23,0.79,2011,666
Mushkin ECO2 512GB MKNSSDEC512GB,SSD,476.9,3395,3448,8799.2,30.87,0.23,2015,667
Intel SSD 530 180GB mSATA,SSD,167.7,3394,3451,11120.0,24.42,0.83,2014,668
ADATA SU650,SSD,447.1,3390,3458,5115.2,53.02,0.14,2018,669
Crucial CT480M500SSD3,SSD,447.1,3389,3461,27319.2,9.92,0.76,2013,670
ADATA SP610,SSD,238.5,3380,3469,14252.0,18.97,0.75,2014,671
TOSHIBA THNSNS480GBSP,SSD,447.1,3380,3472,10399.2,26.0,0.29,2014,672
PLEXTOR PX-128M7VG,SSD,119.2,3380,3473,14798.4,18.27,1.55,2016,673
Micron M500 240GB MTFDDAK240MAV,SSD,223.6,3379,3478,38664.0,6.99,2.16,2014,674
KINGSTON SHFS37A,SSD,223.6,3376,3484,5276.0,51.19,0.29,2015,675
Netac SSD 512GB,SSD,476.9,3372,3488,8228.0,32.79,0.22,2019,676
PLEXTOR PX-128M8VG,SSD,119.2,3370,3492,5839.2,46.17,0.61,2019,677
Crucial CT256M550SSD1,SSD,238.5,3369,3494,14575.2,18.49,0.76,2014,678
Patriot Wildfire,SSD,111.8,3369,3495,7304.0,36.9,0.82,2011,679
WDC WDS100T2G0A,SSD,931.5,3358,3511,8960.0,29.98,0.12,2019,680
MT-512,SSD,476.9,3358,3512,5279.2,50.88,0.14,2018,681
Samsung SSD 840 EVO 120GB mSATA,SSD,111.8,3356,3516,3996.0,67.19,0.45,2014,682
PLEXTOR PX-128M6M,SSD,119.2,3350,3525,7999.2,33.5,0.84,2014,683
PLEXTOR PX-512S2G,SSD,476.9,3349,3527,4799.2,55.83,0.13,2018,684
CT2000BX500SSD1,SSD,1800.0,3345,3537,14399.2,18.58,0.1,2020,685
SAMSUNG MZNLN128HAHQ-000L1,SSD,119.2,3337,3547,4182.4,63.83,0.44,2018,686
PNY CS2211 240GB SSD,SSD,223.6,3335,3551,6399.2,41.7,0.36,2016,687
ADATA SU635,SSD,223.6,3334,3553,2559.2,104.2,0.14,2019,688
PNY CS900 240GB,SSD,223.6,3330,3559,3359.2,79.32,0.19,2017,689
Samsung SSD 750 EVO 120GB,SSD,111.8,3330,3561,10399.2,25.62,1.16,2015,690
ADATA XPG SX900 128GB,SSD,119.2,3325,3568,8282.4,32.12,0.87,2012,691
Intel SSD 330 240GB,SSD,223.6,3325,3570,15760.8,16.88,0.88,2012,692
V Series SSD 240GB,SSD,223.6,3324,3572,10759.2,24.71,0.6,2016,693
TOSHIBA THNSNS240GBSP,SSD,223.6,3320,3580,3436.0,77.3,0.19,2013,694
SanDisk X110 MSATA 256GB,SSD,238.5,3319,3582,15996.0,16.6,0.84,2015,695
Patriot P210 512GB,SSD,476.9,3319,3583,3839.2,69.16,0.1,2020,696
SAMSUNG MZMTE512HMHP-000MV,SSD,476.9,3315,3591,19999.2,13.26,0.52,2014,697
Crucial CT256MX100SSD1,SSD,238.5,3307,3605,7999.2,33.07,0.42,2014,698
TOSHIBA Q300,SSD,223.6,3305,3607,15160.0,17.44,0.85,2015,699
SanDisk SDSSDHII,SSD,223.6,3303,3613,6719.2,39.33,0.38,2014,700
Seagate BarraCuda SSD ZA250CM10002,SSD,232.9,3300,3616,8667.2,30.46,0.47,2018,701
Emtec X150 240GB,SSD,223.6,3299,3617,2479.2,106.46,0.14,2019,702
Axiom Signature III SSD,SSD,223.6,3295,3620,6528.8,40.37,0.36,2013,703
PLEXTOR PX-256M6M,SSD,238.5,3294,3622,11519.2,22.88,0.6,2014,704
Intel SSD DC S3520 480GB,SSD,447.1,3294,3625,24800.8,10.62,0.69,2017,705
Intel SSD Pro 1500 480GB,SSD,447.1,3292,3630,17599.2,14.96,0.49,2015,706
Samsung SSD 860 EVO 500G,SSD,465.8,3287,3645,8476.0,31.02,0.23,2018,707
INTEL SSDSC2BA40,SSD,372.6,3278,3659,31600.0,8.3,1.06,2015,708
PLEXTOR PX-128S2C,SSD,119.2,3268,3679,14398.4,18.16,1.51,2016,709
Netac SSD 256GB,SSD,236.0,3267,3681,4496.8,58.13,0.24,2015,710
SanDisk SD7SN6S-128G,SSD,119.2,3262,3694,3999.2,65.26,0.42,2015,711
Crucial CT128M550SSD4,SSD,119.2,3262,3696,18541.6,14.07,1.94,2014,712
SAMSUNG MZNTY256HDHP-000L2,SSD,238.5,3262,3697,6670.4,39.12,0.35,2016,713
SanDisk X300 MSATA 128GB,SSD,119.2,3259,3700,12112.8,21.52,1.27,2016,714
HP SSD S700 500GB,SSD,465.8,3257,3705,4639.2,56.16,0.12,2018,715
Corsair Neutron GTX SSD 240GB,SSD,223.6,3256,3708,40207.2,6.48,2.25,2012,716
Crucial CT512M550SSD3,SSD,476.9,3255,3710,33397.6,7.8,0.88,2014,717
SAMSUNG MZNTE512HMJH-000H1,SSD,476.9,3252,3713,11564.8,22.5,0.3,2015,718
Kingston HyperX 120GB SH100S3120G,SSD,111.8,3250,3716,20264.8,12.83,2.27,2011,719
MyDigitalSSD BP4,SSD,111.8,3248,3720,5199.2,49.98,0.58,2013,720
ADATA SU800 SSD 128GB,SSD,119.2,3247,3722,2399.2,108.27,0.25,2017,721
SAMSUNG 256GB MZMPC256HBGJ,SSD,238.5,3245,3723,5999.2,43.27,0.31,2012,722
Crucial CT128M550SSD1,SSD,119.2,3239,3728,7106.4,36.46,0.75,2014,723
Patriot Burst,SSD,223.6,3238,3730,3179.2,81.49,0.18,2017,724
SanDisk Z400s M.2 2280 256GB,SSD,238.5,3230,3745,6672.8,38.73,0.35,2015,725
Crucial CT500MX200SSD1,SSD,465.8,3228,3747,15656.0,16.5,0.42,2015,726
ADATA SU630,SSD,223.6,3227,3755,3342.4,77.23,0.19,2019,727
Patriot P200 256GB,SSD,238.5,3225,3760,8880.0,29.05,0.47,2019,728
TOSHIBA THNSNS120GBSP,SSD,111.8,3224,3761,8160.0,31.61,0.91,2013,729
SAMSUNG MZ7WD240HAFV-00003,SSD,223.6,3220,3770,7200.0,35.78,0.4,2014,730
SAMSUNG MZ7PC128HAFU-000H1,SSD,119.2,3219,3771,3599.2,71.56,0.38,2013,731
Samsung SSD 860 EVO 250G,SSD,232.9,3215,3774,6396.0,40.21,0.34,2018,732
ADATA SX300,SSD,119.2,3212,3777,13776.8,18.65,1.44,2013,733
Samsung SSD 845DC EVO 960GB,SSD,894.3,3209,3780,84380.0,3.04,1.18,2015,734
Phison SSD,SSD,119.2,3201,3789,15598.4,16.42,1.64,2015,735
HFS128G3BMND-3210A,SSD,119.2,3196,3794,2883.2,88.67,0.3,2016,736
Colorful SL500 240GB,SSD,223.6,3195,3800,3528.0,72.44,0.2,2016,737
KingDian S280 120GB,SSD,111.8,3195,3801,2940.0,86.93,0.33,2017,738
Transcend TS256GSSD340K,SSD,238.5,3193,3807,13480.0,18.95,0.71,2016,739
KINGSTON SKC100S3240G,SSD,223.6,3192,3810,7440.8,34.32,0.42,2012,740
Mushkin Reactor LT 250GB MKNSSDRE250GB-LT,SSD,232.9,3190,3816,3999.2,63.81,0.21,2017,741
Transcend TS128GSSD230S,SSD,119.2,3188,3818,2507.2,101.71,0.26,2017,742
PLEXTOR PX-512M6M,SSD,476.9,3185,3822,31468.8,8.1,0.82,2014,743
Mushkin Atlas Deluxe 240GB MKNSSDAT240GB-DX,SSD,223.6,3184,3825,12999.2,19.6,0.73,2012,744
Dogfish SSD 256GB,SSD,238.5,3183,3828,3199.2,79.6,0.17,2020,745
Netac SSD 240GB,SSD,223.6,3181,3829,9664.0,26.33,0.54,2017,746
G.SKILL FM-25S3-240GPF,SSD,223.6,3177,3832,5999.2,42.37,0.34,2015,747
Lexar 240GB SSD,SSD,223.6,3173,3836,3955.2,64.17,0.22,2019,748
SanDisk SD6SN1M-128G-1006,SSD,119.2,3171,3840,11199.2,22.65,1.17,2014,749
Intel SSD DC S3610 200GB,SSD,186.3,3160,3860,14000.0,18.06,0.94,2015,750
CT250BX100SSD1,SSD,232.9,3156,3870,6557.6,38.5,0.35,2015,751
ADATA SX930,SSD,111.8,3156,3872,22785.6,11.08,2.55,2015,752
Visiontek 256GB,SSD,238.5,3155,3874,14399.2,17.53,0.75,2017,753
HP SSD M700 120GB,SSD,111.8,3154,3876,1839.2,137.17,0.21,2017,754
INTEL SSDSCKHW120A4,SSD,111.8,3153,3877,7199.2,35.04,0.8,2014,755
SAMSUNG MZNLN128HAHQ-00000,SSD,119.2,3150,3880,4138.4,60.9,0.43,2018,756
ADATA SU900,SSD,119.2,3148,3884,6399.2,39.36,0.67,2018,757
Kingston HyperX 240GB SH100S3240G,SSD,223.6,3148,3888,27599.2,9.12,1.54,2011,758
Corsair Neutron,SSD,111.8,3144,3894,28960.0,8.69,3.24,2012,759
Patriot Ignite,SSD,894.3,3142,3896,12169.6,20.65,0.17,2015,760
HP SSD S700 250GB,SSD,232.9,3136,3908,3279.2,76.51,0.18,2017,761
GIGABYTE GP-GSTFS31120GNTD,SSD,111.8,3130,3920,2399.2,104.38,0.27,2018,762
HP SSD S700 120GB,SSD,111.8,3119,3938,1839.2,135.67,0.21,2017,763
Lexar 120GB SSD,SSD,111.8,3118,3939,5439.2,45.86,0.61,2019,764
M.2 SSD 256GB,SSD,238.5,3118,3940,2080.0,119.92,0.11,2020,765
SAMSUNG MZMTE256HMHP-00000,SSD,238.5,3115,3945,11920.0,20.9,0.62,2013,766
PLEXTOR PX-256M5P,SSD,238.5,3107,3958,28796.0,8.63,1.51,2013,767
SATA3 512GB SSD,SSD,476.9,3104,3960,7724.0,32.15,0.2,2020,768
Intel SSD 330 120GB,SSD,111.8,3101,3967,7536.0,32.92,0.84,2012,769
SAMSUNG SSD PM871 M.2 2280 128GB,SSD,119.2,3093,3978,2399.2,103.12,0.25,2015,770
SanDisk X300 2.5 7MM 128GB,SSD,119.2,3092,3980,2095.2,118.05,0.22,2016,771
ADATA SX910,SSD,119.2,3087,3987,17600.0,14.03,1.85,2013,772
SAMSUNG MZMTE512HMHP-00000,SSD,476.9,3081,3995,19999.2,12.32,0.52,2014,773
Crucial CT240M500SSD1,SSD,223.6,3080,3996,15999.2,15.4,0.89,2013,774
Intel SSD DC S3500 240GB,SSD,223.6,3079,4001,18479.2,13.33,1.03,2013,775
SSD9SC120GEDA,SSD,111.8,3076,4003,18396.0,13.38,2.06,2012,776
ADATA SU650,SSD,111.8,3075,4005,1768.8,139.09,0.2,2017,777
KingDian S280 240GB,SSD,223.6,3072,4016,2799.2,87.79,0.16,2017,778
SAMSUNG MZNLN128HAHQ-000H1,SSD,119.2,3069,4022,3999.2,61.4,0.42,2018,779
Mushkin Atlas Deluxe 120GB MKNSSDAT120GB-DX,SSD,111.8,3069,4023,19196.0,12.79,2.15,2012,780
Crucial CT240M500SSD4,SSD,223.6,3068,4029,16479.2,14.89,0.92,2014,781
DREVO X1 PRO SSD,SSD,238.5,3066,4030,7552.0,32.48,0.4,2017,782
KingDian S280-240GB,SSD,223.6,3063,4033,2879.2,85.11,0.16,2016,783
KINGSTON SMS200S3120G,SSD,111.8,3054,4049,14398.4,16.97,1.61,2013,784
WDC WDS480G2G0B,SSD,447.1,3053,4050,6057.6,40.33,0.17,2018,785
MZMPC128HBFU-00000,SSD,119.2,3051,4054,13596.0,17.95,1.43,2015,786
CT120BX100SSD1,SSD,111.8,3049,4056,7199.2,33.88,0.8,2015,787
KINGSTON SKC400S37256G,SSD,238.5,3045,4062,14261.6,17.08,0.75,2016,788
Plextor M5 128GB PX-128M5S,SSD,119.2,3035,4078,8639.2,28.1,0.91,2012,789
KINGSTON SKC100S3480G,SSD,447.1,3032,4083,7578.4,32.01,0.21,2013,790
SAMSUNG 128GB MZMPC128HBFU,SSD,119.2,3031,4086,5516.0,43.96,0.58,2012,791
ADATA XPG SX300 128GB,SSD,119.2,3028,4092,9488.8,25.53,1.0,2012,792
Samsung SSD 840 EVO 250GB,SSD,232.9,3015,4103,12716.0,18.97,0.68,2013,793
KINGSTON SV300S3240G,SSD,223.6,3013,4108,5140.0,46.89,0.29,2013,794
Samsung SSD 750 EVO 250GB,SSD,232.9,3012,4111,5520.0,43.65,0.3,2016,795
INTEL SSDSCIHW120A4,SSD,111.8,3005,4122,12528.0,19.19,1.4,2015,796
Patriot Blaze,SSD,223.6,3005,4126,9702.4,24.77,0.54,2014,797
Transcend TS128GMTS800,SSD,119.2,3002,4129,3196.0,75.14,0.34,2014,798
Intel SSD 525 120GB,SSD,111.8,3001,4130,10320.0,23.27,1.15,2013,799
SAMSUNG SSD PM851 mSATA 512GB,SSD,476.9,3000,4133,31972.0,7.51,0.84,2014,800
DOGFISH SSD 512GB,SSD,476.9,2998,4142,5432.0,44.15,0.14,2019,801
PLEXTOR PX-128M7VC,SSD,119.2,2986,4165,30319.2,7.88,3.18,2016,802
SAMSUNG SSD PM830 mSATA,SSD,238.5,2982,4170,4152.0,57.46,0.22,2012,803
SAMSUNG MZ7LN128HCHP-000H1,SSD,119.2,2981,4174,1999.2,119.3,0.21,2016,804
KINGSTON SKC100S3120G,SSD,111.8,2980,4177,15999.2,14.9,1.79,2012,805
Transcend TS120GSSD220S,SSD,111.8,2979,4178,4312.0,55.26,0.48,2016,806
ADATA Premier SP600 256GB,SSD,238.5,2977,4182,17680.0,13.47,0.93,2014,807
Transcend TS128GSSD370S,SSD,119.2,2975,4184,7199.2,33.06,0.75,2015,808
SAMSUNG SSD PM830 mSATA 128GB,SSD,119.2,2974,4188,18031.2,13.19,1.89,2013,809
SAMSUNG MZ7WD240HCFV-00003,SSD,223.6,2971,4190,9851.2,24.13,0.55,2015,810
SAMSUNG MZNTE512HMJH-00000,SSD,476.9,2971,4191,7999.2,29.71,0.21,2014,811
SAMSUNG SSD PM851 M.2 2280 512GB,SSD,476.9,2970,4194,10396.0,22.85,0.27,2015,812
HyperX Fury 3D 240GB,SSD,223.6,2965,4203,4800.0,49.42,0.27,2019,813
SAMSUNG MZNLN128HCGR-000L2,SSD,119.2,2965,4204,4182.4,56.72,0.44,2015,814
"Intel SSD 545s 128GB 2.5""",SSD,119.2,2963,4210,4236.0,55.96,0.44,2017,815
SAMSUNG MZ7TE256HMHP-000L7,SSD,238.5,2958,4217,11135.2,21.25,0.58,2014,816
Transcend TS240GSSD220S,SSD,223.6,2951,4232,5519.2,42.77,0.31,2016,817
Transcend TS128GSSD720,SSD,119.2,2949,4237,8425.6,28.0,0.88,2013,818
Intel SSD 510 250GB,SSD,232.8,2948,4239,43580.8,5.41,2.34,2011,819
SAMSUNG MZYTY128HDHP-000L2,SSD,119.2,2944,4244,3264.0,72.16,0.34,2016,820
KINGSTON SVP200S37A240G,SSD,223.6,2942,4249,17778.4,13.24,0.99,2012,821
Intel SSD 545s 128GB M.2,SSD,119.2,2941,4254,4000.0,58.82,0.42,2018,822
Crucial CT240M500SSD3,SSD,223.6,2939,4256,18221.6,12.91,1.02,2013,823
PNY CS900 120GB SSD,SSD,111.8,2938,4260,2422.4,97.02,0.27,2016,824
ADATA SU655,SSD,111.8,2936,4265,2079.2,112.97,0.23,2018,825
WDC WDS200T2G0A,SSD,1800.0,2936,4267,14216.8,16.52,0.1,2020,826
CT120BX500SSD1,SSD,111.8,2934,4268,3199.2,73.36,0.36,2018,827
512GB QLC SSD,SSD,476.9,2934,4270,4799.2,48.9,0.13,2020,828
CT240BX500SSD1,SSD,223.6,2932,4274,3268.0,71.77,0.18,2018,829
CT480BX500SSD1,SSD,447.1,2925,4286,4239.2,55.19,0.12,2018,830
Patriot Blast 120GB,SSD,111.8,2921,4289,3199.2,73.04,0.36,2015,831
Patriot P210 256GB,SSD,238.5,2910,4312,3393.6,68.61,0.18,2020,832
Intel SSD DC S3500 160GB,SSD,149.0,2908,4314,4560.0,51.03,0.38,2014,833
SAMSUNG SSD PM851 mSATA 256GB,SSD,238.5,2907,4316,9120.0,25.5,0.48,2014,834
SAMSUNG MZNTY128HDHP-00000,SSD,119.2,2905,4319,4183.2,55.56,0.44,2016,835
OWC Mercury Electra 6G SSD,SSD,447.1,2905,4321,6719.2,34.59,0.19,2012,836
Intel SSD 530 120GB mSATA,SSD,111.8,2904,4322,5597.6,41.51,0.63,2013,837
SanDisk SD6SB1M-128G-1006,SSD,119.2,2902,4326,5199.2,44.65,0.55,2014,838
Mushkin Source 500GB MKNSSDSR500GB,SSD,465.8,2902,4328,5599.2,41.46,0.15,2018,839
Patriot Pyro SE 120GB SSD,SSD,111.8,2899,4333,10380.0,22.34,1.16,2011,840
PLEXTOR PX-128M5S,SSD,119.2,2897,4339,14356.0,16.14,1.51,2013,841
Transcend TS128GMTS400,SSD,119.2,2890,4348,9355.2,24.71,0.98,2015,842
BP4e mSATA SSD,SSD,223.6,2888,4351,6559.2,35.22,0.37,2014,843
SAMSUNG SSD PM851 mSATA,SSD,238.5,2885,4356,11199.2,20.61,0.59,2014,844
Intel SSD Pro 2500 120GB,SSD,111.8,2885,4359,8239.2,28.01,0.92,2014,845
WDC WDS240G2G0B,SSD,223.6,2883,4360,3157.6,73.05,0.18,2018,846
INTEL SSDSC2KB240G7,SSD,223.6,2882,4364,7999.2,28.82,0.45,2018,847
Crucial CT128MX100SSD1,SSD,119.2,2880,4366,12265.6,18.78,1.29,2014,848
SAMSUNG MZNTY128HDHP-000H1,SSD,119.2,2867,4379,4151.2,55.25,0.44,2016,849
MKNSSDSR1TB,SSD,931.5,2864,4383,9839.2,23.29,0.13,2019,850
PLEXTOR PX-64M6M,SSD,59.6,2862,4385,4399.2,52.05,0.92,2014,851
Transcend TS128GMTS600,SSD,119.2,2858,4389,5199.2,43.98,0.55,2015,852
Mushkin Source 250GB MKNSSDSR250GB,SSD,232.9,2851,4398,3159.2,72.19,0.17,2018,853
256GB QLC SSD,SSD,238.5,2851,4399,7270.4,31.37,0.38,2020,854
WDC WDS240G1G0B,SSD,223.6,2845,4408,3120.0,72.95,0.17,2016,855
Lexar SSD,SSD,111.8,2843,4414,5439.2,41.81,0.61,2019,856
Patriot P200 512GB,SSD,476.9,2841,4416,10880.0,20.89,0.29,2019,857
Transcend SSD720 128GB TS128GSSD720,SSD,119.2,2838,4421,17516.0,12.96,1.84,2012,858
Transcend SSD320 256GB TS256GSSD320,SSD,238.5,2837,4423,13999.2,16.21,0.73,2012,859
SAMSUNG MZ7LM240HMHQ-00005,SSD,223.6,2832,4428,15600.0,14.52,0.87,2017,860
SAMSUNG MZMTE512HMHP-000L1,SSD,476.9,2826,4436,23996.0,9.42,0.63,2014,861
Patriot P210 128GB,SSD,119.2,2824,4444,5199.2,43.46,0.55,2020,862
OCZ 240GB SSD D2CSTK251A20-0240,SSD,223.6,2824,4445,32071.2,7.04,1.79,2013,863
FTM56N325H,SSD,238.5,2823,4446,4720.0,47.85,0.25,2019,864
Patriot Burst Elite 120GB,SSD,111.8,2822,4447,1439.2,156.89,0.16,2021,865
SAMSUNG MZNTE256HMHP-000H1,SSD,238.5,2816,4455,6684.8,33.71,0.35,2014,866
SAMSUNG MZMTE256HMHP-000L1,SSD,238.5,2809,4465,6000.0,37.46,0.31,2014,867
