id,cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,cores,socket,category,brnd
87,Intel Xeon W-1270E @ 3.40GHz,29360.0,18635,50.78,2990,8.15,80.0,8,LGA 1200,"Server, Mobile/Embedded",Intel
88,Intel Xeon W-1290T @ 1.90GHz,39520.0,18409,37.27,2974,6.02,35.0,10,LGA 1200,Server,Intel
89,Intel Core i5-11600 @ 2.80GHz,17312.8,18318,84.64,3302,15.26,65.0,6,LGA 1200,Desktop,Intel
90,Intel Core i9-9820X @ 3.30GHz,54800.0,18288,26.7,2406,3.51,165.0,10,LGA 2066,Desktop,Intel
91,AMD Ryzen 5 3600X,16799.2,18285,87.08,2670,12.71,95.0,6,AM4,Desktop,AMD
92,Intel Xeon E-2378 @ 2.60GHz,30880.0,18248,47.28,3258,8.44,65.0,8,LGA 1200,Server,Intel
93,Intel Core i7-9800X @ 3.80GHz,52000.0,18240,28.06,2595,3.99,165.0,8,LGA 2066,Desktop,Intel
94,Intel Xeon W-2145 @ 3.70GHz,97973.6,18225,14.88,2625,2.14,140.0,8,LGA 2066,Server,Intel
95,Intel Xeon W-1270 @ 3.40GHz,28960.0,18093,49.98,3060,8.45,80.0,8,LGA 1200,Server,Intel
96,Intel Core i9-10900TE @ 1.80GHz,35520.0,17888,40.29,2684,6.05,35.0,10,LGA 1200,Mobile/Embedded,Intel
97,AMD Ryzen 5 3600,12279.2,17822,116.11,2576,16.78,65.0,6,AM4,Desktop,AMD
98,Intel Core i5-12500T,16160.0,17728,87.76,3618,17.91,35.0,6,LGA 1700,Desktop,Intel
99,Intel Core i5-11500 @ 2.70GHz,15775.2,17626,89.38,3153,15.99,65.0,6,LGA 1200,Desktop,Intel
100,AMD Ryzen 7 2700X,17038.4,17578,82.54,2436,11.44,105.0,8,AM4,Desktop,AMD
101,Intel Core i7-7820X @ 3.60GHz,56720.0,17283,24.38,2539,3.58,140.0,8,LGA 2066,Desktop,Intel
102,Intel Core i5-11400F @ 2.60GHz,11999.2,17213,114.76,3023,20.15,65.0,6,LGA 1200,Desktop,Intel
103,Intel Core i5-11400 @ 2.60GHz,13936.8,17132,98.34,3048,17.5,65.0,6,LGA 1200,Desktop,Intel
104,Intel Core i7-10700E @ 2.90GHz,26400.0,17020,51.58,2845,8.62,65.0,8,LGA 1200,"Laptop, Mobile/Embedded",Intel
105,Intel Core i7-10700F @ 2.90GHz,19999.2,16973,67.89,2919,11.67,65.0,8,LGA 1200,Desktop,Intel
106,Intel Core i7-10700 @ 2.90GHz,21519.2,16946,63.0,2922,10.86,65.0,8,LGA 1200,Desktop,Intel
107,AMD Ryzen 5 4500,11340.0,16698,117.8,2605,18.38,65.0,6,AM4,Desktop,AMD
108,AMD Ryzen 5 PRO 4650G,20588.8,16428,63.83,2664,10.35,65.0,6,AM4,Desktop,AMD
109,Intel Core i7-10700TE @ 2.00GHz,26400.0,16332,49.49,2772,8.4,35.0,8,LGA 1200,Laptop,Intel
110,AMD Ryzen 7 1800X,14242.4,16306,91.59,2186,12.28,95.0,8,AM4,Desktop,AMD
111,Intel Xeon E-2336 @ 2.90GHz,24320.0,15900,52.3,3353,11.03,65.0,6,LGA 1200,Server,Intel
112,AMD Ryzen 7 2700,20336.0,15654,61.58,2197,8.64,65.0,8,AM4,Desktop,AMD
113,AMD Ryzen 7 1700X,13444.8,15496,92.21,2074,12.34,95.0,8,AM4,Desktop,AMD
114,Intel Core i7-11700T @ 1.40GHz,25840.0,15271,47.28,2859,8.85,35.0,8,LGA 1200,Desktop,Intel
115,Intel Core i5-11600T @ 1.70GHz,17040.0,15254,71.61,2884,13.54,35.0,6,LGA 1200,Desktop,Intel
116,Intel Core i9-10900T @ 1.90GHz,35120.0,15134,34.47,2523,5.75,35.0,10,LGA 1200,Desktop,Intel
117,Intel Xeon W-1250P @ 4.10GHz,47732.8,14924,25.01,2985,5.0,125.0,6,LGA 1200,"Desktop, Server",Intel
118,AMD Ryzen 7 1700,12214.4,14628,95.81,1985,13.0,65.0,8,AM4,Desktop,AMD
119,Intel Core i5-10600KF @ 4.10GHz,14798.4,14575,78.79,2948,15.94,125.0,6,LGA 1200,Desktop,Intel
120,Intel Core i5-10600K @ 4.10GHz,17037.6,14534,68.24,2936,13.78,125.0,6,LGA 1200,Desktop,Intel
121,Intel Core i3-12100F,8639.2,14490,134.18,3532,32.71,58.0,4,LGA 1700,Server,Intel
122,Intel Xeon W-2235 @ 3.80GHz,46639.2,14332,24.58,2662,4.57,130.0,6,LGA 2066,Server,Intel
123,Intel Xeon W-2135 @ 3.70GHz,80616.0,14109,14.0,2592,2.57,140.0,6,LGA 2066,Server,Intel
124,Intel Xeon E-2374G @ 3.70GHz,28560.0,14086,39.46,3445,9.65,80.0,4,LGA 1200,Server,Intel
